"X","prediction","real"
0,-403.70105,-1712.92467594804
1,-505.8347,-1162.2785366435
2,-508.87555,-823.912938968985
3,-499.14252,-144.303819096277
4,-551.69006,-137.0359339399
5,-563.3454,-286.703074039277
6,-456.1681,-1235.47276056873
7,-416.1069,-766.856288889935
8,-409.82654,-585.719086802606
9,-477.4512,-539.93335444285
10,-431.19693,-384.310143874713
11,-565.98956,128.38212872092
12,-604.98926,-150.923726777848
13,-272.42395,-238.451050241458
14,-295.34943,-96.6810018387065
15,-419.43448,329.863635698013
16,-524.8692,421.953027451699
17,-483.2725,312.325878375452
18,-674.89,-794.713623621703
19,-717.4341,668.448715897711
20,-349.77173,139.808678687727
21,-409.59543,128.039152365985
22,-521.3844,428.280178380403
23,-593.57495,-453.84219782432
24,-514.99365,1.47393217113139
25,-716.92505,429.195800900774
26,-725.4675,-327.34980650131
27,-296.27545,596.592114569723
28,-335.82968,453.66307316775
29,-431.09012,11.8273853079944
30,-489.25494,567.949642663992
31,-388.4793,514.716414090075
32,-521.3288,524.208710931473
33,-453.11874,482.652762335875
34,-17.452208,513.166962460222
35,-41.246525,528.27555825408
36,-192.37737,399.107087854879
37,-302.642,-122.063366085137
38,-289.016,-182.226884393639
39,-510.8837,-282.906033066143
40,-513.7234,-290.808248753176
41,-196.2171,210.593566871241
42,-196.44649,261.209451183662
43,-275.7156,260.509965779697
44,-331.24115,275.431607783079
45,-297.4849,-447.507166800742
46,-436.89645,-22.4630674900475
47,-399.504,-353.135933320065
48,-190.97888,-211.222566812178
49,-238.05786,-316.133745640844
50,-331.97687,33.8680429736472
51,-378.62024,-270.098058536135
52,-360.35687,167.773678494721
53,-483.0866,198.430683871102
54,-463.98572,-296.916544221864
55,-279.56354,-311.658606340422
56,-286.92496,68.0464829911001
57,-340.29565,310.08955486295
58,-361.33774,154.000945095576
59,-263.64517,260.373001859522
60,-313.995,198.93844014679
61,-269.6191,313.93262626332
62,-181.09383,253.893005263012
63,-212.003,105.177225955915
64,-251.39668,295.485104002632
65,-251.95863,217.781128035257
66,-178.20705,514.796509325381
67,-226.35637,-396.56824329307
68,-50.036507,568.787567771359
69,24.168472,419.668257553501
70,89.67878,178.970752939135
71,120.37259,-26.9363563099775
72,127.93486,-229.813185256918
73,174.16928,-124.712964118552
74,180.38174,144.255019714725
75,128.50453,238.189674550917
76,-15.097919,301.634045033349
77,-124.57438,312.755762116014
78,-165.69894,429.121170290329
79,-145.41023,349.896778175447
80,-22.56204,307.598588561803
81,-14.856882,-266.255708676023
82,10.962779,171.672632988921
83,73.41837,67.5578605155654
84,75.72745,93.2406664504284
85,87.93039,87.5277697813458
