,prediction,real
0,-152.2808,-1630.17137108445
1,-212.93867,-1041.88295378389
2,-265.61758,-692.4394192203608
3,-298.82568,-71.93005944063208
4,-487.8973,-49.27293854949626
5,-569.8539,-169.63089752141087
6,-356.79892,-1177.32083555356
7,-479.03555,-714.3553040135878
8,-374.49207,-491.230600690456
9,-565.5526,-342.204972841756
10,-535.1376,-204.2278884859161
11,-474.48712,235.3552105068291
12,-417.73618,2.9397088529921085
13,-80.2816,-59.78691057800734
14,-353.0069,47.87338052486223
15,-243.41907,409.7774120637661
16,-389.25153,528.1848895706541
17,-275.59818,447.20314629563177
18,-501.7811,-680.2235211428059
19,-553.2012,702.7244911368049
20,-119.11266,258.60757950693807
21,-564.1383,196.67694129649402
22,-681.96747,557.4567295278318
23,-382.45554,-267.0451449814829
24,-322.59714,91.25981646871318
25,-780.4593,581.4168305615763
26,-724.497,-142.71851154967706
27,-260.4574,700.1964215521082
28,-485.07578,602.1161868991783
29,-604.8452,168.66861942162694
30,-578.01245,639.0342249364508
31,-323.3554,439.5452340004488
32,-480.99722,440.0018917078752
33,-317.08133,398.10508378167384
34,-31.173523,420.5915703108171
35,58.828575,431.65568914930316
36,-327.49435,316.82615839832926
37,-519.57086,-181.37284187886613
38,-493.70767,-230.86294737727312
39,-651.58496,-308.9072017823821
40,-779.38135,-294.7497895965691
41,-221.54921,192.1205749522559
42,-139.19681,205.90360765578126
43,-386.41666,185.82634411496014
44,-262.13782,186.46090094518905
45,-266.54684,-504.5626450977861
46,-331.38455,-88.54279979323854
47,-288.45016,-422.2367477380769
48,-360.55374,-293.3504441041689
49,-365.8016,-403.6768430597752
50,-427.60742,-45.483890243918644
51,-488.06552,-324.28153532354395
52,-554.29803,75.50932817942885
53,-572.8204,104.83709857645886
54,-421.58612,-289.63627398932397
55,-403.54172,-297.01155685380905
56,-489.33084,44.27739160078601
57,-418.64532,228.95108803096426
58,-507.51465,24.141181025703727
59,-435.3711,336.2676503200832
60,-339.46384,279.62201736548514
61,-203.28766,409.295642939383
62,-199.71806,344.3449118170288
63,-252.76869,153.80719626093014
64,-227.39148,310.09432692199283
65,-272.5855,212.84457537886192
66,-171.49545,397.8563840429919
67,-149.98244,-468.5226335278579
68,-171.55244,481.7722857082422
69,-162.69565,359.2128154058797
70,-276.96698,189.31551518603186
71,-252.51376,-4.0390688675407365
72,-47.031994,-181.56002552184106
73,26.150156,-88.45793022129834
74,76.601944,139.84239432544186
75,-18.723585,206.09402216060778
76,-48.505802,191.60297595962598
77,-359.24753,212.73102588472207
78,-481.62448,324.5248730879522
79,-172.3036,274.5137804192329
80,-8.919563,216.95285142913772
81,-155.13364,-284.50203049143806
82,-109.21231,119.85833475429406
83,-634.3762,13.035213994833322
84,-720.04364,43.766900036834286
85,-596.13336,72.56134803714244
86,-242.20422,-29.592212542644667
87,-116.923325,-389.09502295716504
88,-153.81749,-355.94562179286487
89,-21.04426,-380.90827487448405
90,-330.56152,107.47662950076804
91,-272.7952,138.23472671792493
92,-72.860825,180.25952127404003
93,-35.778633,-131.22800850931708
94,193.05177,-252.86683377909802
95,360.81418,67.401928922292
96,608.99023,129.0547291533331
97,217.5152,208.46823618886117
98,144.81316,231.2247971863069
99,224.3047,230.9959331040211
100,40.150723,555.519696982923
101,165.2687,676.626319526834
102,78.076996,723.879077454436
103,95.91572,684.6260904733151
104,-105.71395,968.8154530431726
105,-24.234726,1405.0372480632298
106,-14.506596,1051.9720602774098
107,-60.511868,324.11124261097774
108,-116.45746,219.45826072513714
109,-439.92416,355.6855541955948
110,-596.71265,6.15351922470695
111,-338.09628,285.7693157023899
112,-213.37883,92.55638448109084
113,-296.07693,147.73304385955592
114,-440.9352,643.6075380301379
115,-554.9197,207.76077806465173
116,-563.06067,711.098579117562
117,-397.88498,-911.2466914404612
118,-418.54773,-385.08499127481394
119,-627.46625,-1057.7071191814002
120,-443.84317,514.0504617331591
121,-872.44385,-292.128587101902
122,-936.59973,-321.18161981246806
123,-405.0307,68.01398230277486
124,-629.79095,229.98279940987626
125,-865.9176,284.11225326227003
126,-745.5265,496.1604227299699
127,-558.3168,204.84240327007916
128,-346.38467,792.3608242335731
129,-490.63956,-202.121528129402
130,-226.45757,285.0527946648232
131,-124.927986,243.57265730172884
132,-223.01434,266.3324353424632
133,-223.10355,402.2846198915338
134,-209.4623,559.8882168055771
135,-170.1316,696.6568270652117
136,-137.17163,477.2271660611859
137,-20.072563,764.3865164634767
138,-20.392538,848.3240716491033
139,-137.05981,554.1100062566547
140,-76.99666,624.2768255526202
141,58.415363,530.8645650842788
142,149.47156,451.25245670147217
143,251.14581,363.52742422847416
144,248.4559,691.3832835633171
145,266.08432,725.8963155211289
146,197.32483,404.8679487705092
147,44.567505,324.2590487778501
148,-17.788748,442.7669490086031
149,-32.208412,568.244699018974
150,38.63448,361.3008118574641
151,178.84584,149.31822285791094
152,323.22647,172.58274483145706
153,10.6881695,228.0514486519898
154,-153.44362,27.96203132557739
155,-252.75381,212.96886522749773
156,-347.46075,25.12481948492351
157,-244.12593,130.12127047538104
158,-121.50923,212.78835999723705
159,64.90285,248.57562395985985
160,-198.4143,68.65236655851405
161,-204.33246,142.79289252512996
162,-118.75087,227.30117387898528
163,-272.39594,379.0500649351959
164,-61.423782,317.68945305279493
165,-81.944984,304.009446177038
166,98.925285,547.4963025779429
167,-242.54898,-656.615804084864
168,-117.31516,165.09780988296214
169,-13.126951,603.1657378822352
170,-174.10078,420.8568226233087
171,-49.296917,474.5879605494208
172,-40.684517,542.2978858128038
173,63.073135,559.512818846967
174,-171.93593,311.4042677357049
175,-107.51888,208.22171355921395
176,-117.26282,204.29734926352018
177,-195.65874,66.27568153896375
178,125.65922,649.5100209705419
179,-171.72404,-130.8131651565571
180,1.8800071,200.35706957592606
181,-157.13434,254.8924317862092
182,-130.33598,261.4908311263489
183,-223.05182,-278.54772980655696
184,-245.0016,-118.8276852729471
185,-47.02487,99.88819585120977
186,123.16446,425.5194634170297
187,226.86234,263.3041970648501
188,124.768364,481.96973535799475
189,-15.6904745,0.6535224315144516
190,-129.72794,262.5260400364581
191,-64.58451,218.577688404437
192,79.68059,32.14826882467917
193,227.0324,279.9002179441253
194,357.1724,544.702990287164
195,251.476,196.89045502000994
196,70.09092,200.0529145114311
197,-39.73822,206.402658760663
198,50.7313,218.94692383280227
199,167.13403,166.133468930993
200,309.45294,264.4097947954831
201,376.63083,173.66869187986003
